TestNumber,LoadingTime (ms)
1,0.216736
2,0.108250
3,0.075352
4,0.070796
5,0.068202
6,0.065875
7,0.071849
8,0.073298
9,0.067144
10,0.080132
11,0.073379
12,0.072180
13,0.068022
14,0.067033
15,0.076301
16,0.068422
17,0.071006
18,0.073351
19,0.075980
20,0.067384
21,0.067564
22,0.069205
23,0.064491
24,0.067619
25,0.067317
26,0.073378
27,0.069086
28,0.066772
29,0.070717
30,0.072763
31,0.068733
32,0.073709
33,0.065133
34,0.074438
35,0.069134
36,0.068504
37,0.066172
38,0.069199
39,0.064964
40,0.062957
41,0.065047
42,0.069190
43,0.068855
44,0.071296
45,0.073235
46,0.077358
47,0.074661
48,0.071672
49,1.077112
50,0.108091
